"","H1_rep1","H1_rep2","H1_rep3","H1_rep4","H9_rep1","H9_rep2","H9_rep3","DEC_rep1","DEC_rep2","EC_rep1","EC_rep2","EC_rep3","HFF_rep1","HFF_rep2","HFF_rep3","NPC_rep1","NPC_rep2","TB_rep1","TB_rep2"
"IGSF9",469.59,459.07,429.18,411.77,1414.93,1542.31,1641.33,176.54,152.25,62.99,18.32,53.51,6.24,4.08,6.38,2231.78,2321.35,162.07,204
"SMG7",1377.43,1295.77,1224,1196.16,3496.65,4083.01,4653.02,4660.32,3981.54,2892.14,2744.12,3368,1742.95,1585.77,1677.91,3249.32,4313.09,1562,2651.98
"C1orf38",140,113,137,109,197,225,264,104,150,198,160,95,129,151.12,152.98,94,109,2,4
"CLMN",80.03,79.54,86.87,69.12,289.65,188.86,166.91,462.75,411.8,152.74,172.42,271.71,15.82,31.62,21.39,1146.98,890.27,871.63,674.46
"ACAD8",664,677,611.14,604.36,1763.77,1893.76,1802.94,605,565.24,1099,1127.59,1298.29,414.98,486,480,685.01,998.43,509,761
"OR13C3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FRRS1",58.03,52.86,51.46,40.73,79.43,107.85,100.96,1030.16,1158.32,93.54,56.95,62.76,129.72,117.18,130.39,115.74,138.51,197.91,330.27
"OR5M11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAP6D1",87,57,69,82,152,194,199,175,196,32,39,68,104,98,86,108,160,140,103
"ACVR1",144,146,140,136,490.03,470,498,1308.34,1013.97,1057,1014.79,1495,1630.23,1659,1946.9,750.87,613,351,501
"C4orf3",495.96,483.62,389.14,449.18,1403.99,1511.34,1564.02,1989.6,1998.53,2141.88,2241.07,2735.24,3187.43,2865.47,2617.66,1405.29,1729.17,1703.63,2771.5
"ATP1A3",440.49,422.96,409,357.01,1301.22,1032.98,1108.05,7,4,0,0,2,26,37,22.5,88.03,173.04,4,6
"MTCP1NB",96.78,96.07,101.35,80.99,231.07,239.42,282.79,163.56,117.08,291.55,235.94,191.9,269.15,284.68,280.56,169.52,340.39,211.16,297.63
"CNKSR1",126,158,133.66,136,452,434,508,600,641.02,200,133,111,8,8,10,771.19,639.09,982.94,1160.45
"SCN3A",0,0,1.07,2.29,3.22,3.37,6.43,1.27,4,0,1.04,0,8.47,4.5,5.88,23.03,44.78,0,1.04
"ABLIM2",12,14,13,8,40,42,32,31,12,5,0,1,1,0,0,19,21,8,11
"FMN2",15,24,17,17,101.93,77,84,1694.34,1170.12,97,79,46,3194.45,2415,2665.03,171.81,168,12,32
"HIST1H4C",3,0,1,2,4,6,3,2,2,0,0,1,0,0,0,3,3,2,0
"ESRP2",751.49,709.76,736.87,690.39,1780.88,2146.92,2170.03,1880.76,1855.69,40.72,3.32,22.09,6.69,5.55,15.75,17.47,12.32,2249.42,2832.23
"CHST1",29.91,28.44,36.72,31.71,64.02,50.83,57.41,324.2,242.42,809.44,840.11,529.82,11.33,13.11,19.63,101.38,98.9,22.91,17.21
