"","H1_rep1","H1_rep2","H1_rep3","H1_rep4","H9_rep1","H9_rep2","H9_rep3","DEC_rep1","DEC_rep2","EC_rep1","EC_rep2","EC_rep3","HFF_rep1","HFF_rep2","HFF_rep3","NPC_rep1","NPC_rep2","TB_rep1","TB_rep2"
"MYH8",0,0,1.01,0,0,2.04,0,233.94,386.54,0,0,5.11,0,0,0,0,0,0,0
"TAS2R39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE4A",648.53,643,616,693,1642.62,1706,1800.71,2140.14,1521.96,1475.09,1608.25,1556.08,1848.06,1930.47,2130.75,1897.87,2105.85,1953,2205.52
"C5orf28",36.41,41.05,48.34,39.8,120.69,142.94,141.73,217.54,203.06,135.41,105.67,110.27,309.04,277.59,316.02,198.23,184.14,93.04,142.48
"HIST2H4B",20,17.5,18,11,24.5,41,20,13.5,10,13.5,11,6.5,22.5,29,32,19.5,33,10.5,33
"PDILT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INO80D",697,651.68,595.87,652.87,1261.13,1094.92,1228.71,923.54,604.84,629.92,532.85,857.01,267.57,252,343.46,695,694.01,432,594
"TACR3",25,26,14,20,71,67,89,4,2,7,2,1,0,0,0,5,15,3,5
"LGALS1",117,104,123,116,228,201,191,193.92,220,6742.53,8220.99,6984.03,56528.28,61342.06,55269.97,341,418,12,38.45
"MCFD2",1980.27,1931.21,1759.79,1822.48,4374.78,4481.19,5207.6,6630.93,5491.27,7213.83,7021.45,6660.58,9475.56,8612.48,9934.7,4230.01,4590.31,4105.01,4885.4
"FAM173B",65,72,60,82,323,357,312,250.7,257,136,159.98,145.84,242,229,225,312,431.56,119,215
"TAF10",627.01,670.92,542.8,516,1589.61,2004.1,1956.22,1927.83,1731.27,1074.25,1034.95,1058.9,1588.62,1344.45,1289.31,1258.47,1707.29,1443.72,1979.59
"GALR1",14,11,19,11,11,4,6,0,0,0,0,0,0,0,0,0,0,5.01,7
"CDH11",39,50,50,35,275,271.01,275,3620.93,601.43,4238.51,4676.08,4481.19,7085.93,7984.13,9015.02,3487.64,7004.89,2682.9,2359.97
"TMEFF2",7,10,5,9,64,65,51,34,9,1,2,0,4,3,1,112,228,5,5
"PDK2",186,179,194,183,381,407,380,547.99,576.01,552,726,660.4,1064.73,1266.02,959,692,871,433,701
"SPACA5B",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
"EIF2C3",92,97,102,92,342,348.52,401.98,300.04,234,359,298,506.49,304,259,289.99,371,358,246.16,328.94
"SNX32",5,3,7,4,9.01,4,6,10,16,22,35,31,27,47,37.98,132,85,4,8
"LCE2A",0,0,0,0,0,0,0,1,2,0,0,0,17,9,12,0,0,0,0
"RASL11A",23,25.51,24,15,50.05,73,62,10,13.08,3,4.02,9.14,430,340.59,303.32,8.04,18.24,47.76,76.47
"USP51",149,136.47,131,128,215,286.96,264,330,346.34,198,219,191,67,80,85,247,297,115,251
"RCN2",1689,1654.68,1562.98,1634.69,4793.28,6126,5900.72,5138.77,3946.08,2621.47,2326,2064.97,2126,1797,2026,4984.75,6400.56,2758.84,3469.17
"OR2T10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX23",1616,1548.37,1571.02,1496.11,4743.28,5829,5504.05,3906.01,3296.18,3040,2994.72,3050.02,2527,2469.98,2349.17,3565.73,4816.38,1810,2759.5
"CDKN3",237.11,247.68,242,237,650,767,717.23,407,334.98,466.36,405,244.99,298,355,288,420.88,704,64,139
"MBD3L3",0,0,0,0,0,0,0,0.33,0,0,0,0,0.33,0,0,0,0,0,0
"STEAP2",202.73,181.55,189.12,208.04,425.84,377.12,430.83,95.23,78.35,35.2,18.19,28.23,406.38,362.58,386.41,133.54,60.02,23.7,32.48
"TTC9B",0,1,0,1,2,4,1,0,2,0,1,2,0,0,1,1,1,0,0
"PTPMT1",641.65,626.89,595.8,601.93,1097.8,1244.55,1257.11,1449.88,1494.75,1039.38,1051.77,1020.61,1083.05,966.56,963.82,713.72,674.52,963.12,1254.73
"FAM100A",436.32,431.99,396,355.01,931.16,1133.33,940.2,882.14,849.17,343.66,420.15,845.54,427.92,433.65,463.22,353.93,387.3,695.14,745.08
"CRP",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"CC2D1B",250.17,253.78,223.15,265.69,809.24,928.62,992.99,2212.6,2380.49,1628.29,1941.54,2452.57,1672.16,1511.04,1457.84,928.35,1444.98,1838.61,1717.23
"NCLN",1866.11,1871.81,1680.09,1517.27,4457.74,5153.29,5044.03,4176.88,3911.68,2050.25,2145,1961.87,3030.36,2755.27,2914.23,2110.16,3173.88,1873.48,2032.18
"LRRC31",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0
"NMT1",2307.82,2343,2173.04,2090.98,4888.29,5682.07,6016.82,4202.84,3655.08,4035.69,4346.8,4136.28,4155.01,3957.67,4057.06,4279,5049.97,2336.66,4062
"METTL6",247.83,218.06,242.74,228.08,524.88,685.02,670.85,388.6,362.16,287.45,283.25,326.16,353.27,344.43,355.1,311.92,539.87,289.89,445.76
"SFRP1",9176.92,8867.12,8614.63,8451.77,20624.14,26614.09,25826.21,21494.85,15023.13,8634.75,8354.11,7938.76,5045.29,7972.22,9400.2,35240.87,18092.29,10033.1,10982.64
"FN3KRP",325,321,289,290.88,792,1012,897,1219,1063,648,721.45,632,706.09,675.05,611.15,850.95,1171.18,653,998
"USP15",266.85,228.51,239.3,268.6,962.71,1074.25,1081.2,885.63,624.26,1943.18,1898.1,1878.87,1151.3,1150.69,1149.63,697.03,966.19,650.9,856.82
"ADPRH",54,63,51,51,171,207,200,292,291.74,253,366,156,191,247.07,224,55,120,167,261.28
"CSF1",67,70.25,87,50,195,191,182,490.62,347,127,131,564,4964.74,5134.65,5963.62,385,863.9,835.85,1375.52
"GLRA1",0,1,1,0,2,2,3,1,2,0,0,0,0,0,0,0,1,0,0
"RERGL",0,0,0,0,0,0,0,0,3,0,0,0,2,3,2,0,0,2,0
"CCDC116",0,0,1,1,3,4,5,7,10,6,7,9,0,2,4,7,8,10,3
"CNOT7",1780.09,1722.66,1525.18,1650.15,3780.91,4635.7,4451.97,3946.5,3257.43,2055.45,2055.02,2376.27,1535.82,1475.03,1385.01,2135.5,2947.86,1275.14,2173.75
"GGTLC2",0,0,0,0,6.15,0,6.41,1.78,0,0,2.72,0,0,1.54,3.26,2.02,5.47,36.64,39.95
"LILRA4",0.95,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"INSL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAHD2B",343.87,316.18,321.97,327.96,645.99,729.62,660.31,536.24,560.02,465.91,572.32,332.43,160.9,201.38,196.42,524.51,634.84,165.32,270.23
"TINAGL1",104.92,109.95,115.31,86.17,211.12,161.34,186.8,96.27,61.54,867.43,910.39,824.92,350.84,248.44,358.88,56.78,45.77,839.89,1314.35
"RAP1GDS1",259,275.06,224.03,238,932.73,1158.07,984.11,1366.13,1310,1874.68,1829,1342.99,1630.01,1690.87,1804.03,744.06,1434,422,688
"B3GNT1",415.09,352,368,355,787.23,826,868,1615,1497.95,1190.6,1070,996,731,984,961.74,1262.99,1686.97,688,982
"HIST1H1A",1,2,0,4,0,0,1,1,4,0,1,0,0,1,0,4,5,0,0
"PSMD9",313.38,282.35,307.94,265.95,519.91,631.88,661.71,1537.91,1540.24,827.47,758.62,778.63,1382.65,1576.75,1330.06,744.35,1247.56,813.59,1174.98
"NSL1",458.62,407.58,438.41,487.24,1193.74,1327.41,1421.9,1081.97,839.25,752.69,863.62,711.44,491.44,528.6,506.94,887.07,1190.04,428.19,677.33
"CCR3",0,0,0,0,2,0,1,0,0,1,1,0,0,1,1,0,0,1,1
"S100A1",7,11,7,7,30,16,21,39,43,33,33,41,18,19,11,18,30,35.87,40.42
"CLYBL",89,101,93,83,170,232.01,241.13,71,59.85,63,75,57,23,20,33,333.09,342,76,109
"RGS13",0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0
"NR2C2AP",162.83,158.6,181.13,138.53,473.85,497.84,541.63,321.25,302.46,86.17,115.53,122.01,186.03,135.42,117.82,134.89,254.97,167.75,168.84
"MGST2",83,79,72,74,179,187,176,4254.17,4984.62,763,876,860.99,207,268,240,165,204,172,225.99
"FAM101B",524.65,548.38,534.2,481.56,796.48,819.39,886.83,393.58,265.9,2605.67,2231.46,1068.81,1950.85,1721.55,1956.57,288.26,594.88,207.7,181.32
"ANKAR",3,3,8,3,17.76,14,24,17,23,30,29,19.95,26,33.73,42,66,51.83,29,35
"CT47B1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAP3K7",497,491,500.97,523,1758.08,2168.01,2361.03,1993.6,1386.24,1726.74,1662.32,2125.49,1345.26,1421.7,1472.34,2117.78,2434.48,991.6,1448.02
"CDKN2B",3.21,1,2,2,0,3,3,997.22,307.17,19.4,17.46,111.54,227.29,286.57,344.23,2,35.61,357.71,209.3
"SPATS2",237.89,221.46,240.47,214.85,962.49,922.82,1120.13,1933.04,1469.61,1579.4,1410.51,1201.31,901.03,953.03,1000.98,1583.7,1928.1,682.84,990.92
"TCTN2",133.72,156.62,157.21,133.59,254.79,313.08,370.41,698.26,583.24,513.19,529.69,434.61,456.61,452.61,451.67,793.71,755.73,225.87,297.71
"KCNA3",10,7,15.25,6,19.16,24.98,19,55,38,0,0,4.01,6,8,16,7.06,9,5,2
"DGKE",106.15,127.96,117.04,106.91,339.2,323.84,455.48,160.09,143.22,107.28,83.52,81.75,169.36,175.12,190.73,304.77,251.17,563.92,452.42
"NRAP",0,1,1,0,0,0,0,18.65,17.21,0,0,0,0,0,1,1,9,0,0
"LGALS9B",0,0,0,0,0,1,0,0,1.11,1.68,1.13,0,0,0,0,0,0,0,0
"CCDC130",103,113,107,93,344.8,339,376.01,794.42,1013.95,2463.26,2873.88,2254.55,582,543.02,470.91,1000.12,862.09,579.69,591
"RAD51AP2",1,1,2,0,0,1,4,0,0,20,19,19,0,0,0,9,6,3,3
"PKN3",284.37,328,308.27,247.22,740.92,496,757,1891.87,2056.01,1103,1364.43,931.64,282,240.94,201.99,873.2,908.89,374,594
"TRIM40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADAM23",210,237,205,159,1249.09,1637.06,1469.76,280.89,174,347.58,420,332.03,254,234,256,846.85,1259.88,7,2
"MRPL11",1296,1282.99,1351,1195.8,2725.93,3444.51,3126.74,1479,1322,886,895.88,860.2,904.45,989,838.36,1110,2072.51,609,996.02
"OR9G4",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBA1",5347.94,5241.19,4925.6,4691.61,18201.9,18968.49,20082.27,13297.71,12339.23,11393.8,11235.82,10886.81,11506.2,10992.11,10413.76,15698.8,14651.06,7219.2,10547.58
"DYRK1A",810,758.16,704.93,741.39,1622.56,1944.26,2054.2,1929.41,1526.18,2544.14,2534.03,3234.46,1174.6,1266.64,1386.89,2130.51,2286.64,1451.25,1817.88
"PEPD",985.96,1123,978.46,877,1676.4,2111.96,1781.55,1940.09,1729,1207,1212.9,1420.25,2537.12,2343.37,2606.04,1145.99,1558.48,689.01,1059.67
"DNAI1",2,1,2,2,6,4,4,10,7,3,2,4,1,3,1,34,24,32,27.98
"CRYBA1",0,0,0,0,0,0,0,1,0,0,0,0,6,5,5,8,29,1,3
"YWHAB",3990.08,3927.53,3783.57,3859.57,10314.4,12342.15,12032.03,9933.81,8625.46,8254.33,9480.46,9243.26,9320.19,9471.08,9754.47,4867.43,8090.64,4815.81,7512.66
"HIST1H1C",90,70,79,65,161.92,174,148,146,87,73,76,86,354,378,279.03,63,120,148,251
"SERPINB13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
"FAM83B",46,49,27.48,39,97,100,95,185,95,4,0,8,1,4,0,17,18,481.36,763.86
"BBIP1",63.55,70.17,60.6,69.59,187.37,177.71,247.61,281.62,260.93,324.65,309.37,253.35,320.98,322.19,280.38,364.94,333.24,116.33,195.89
"CDC23",623.78,569.21,566.36,571.67,1743.86,2009.32,2040.32,1355.21,1136.71,1601.29,1567.63,1475.79,864.36,898.56,893.88,2358.29,2295.79,995.33,1703.17
"ECH1",944,877,883,799.68,1732,1835.43,1898.79,2527.74,3115.95,3150,3314.84,2782.98,1235.02,1559,1408,2559.61,2495.76,1769.92,3037.76
"RBM12B",604.84,635,583.87,616.01,1450.79,1431.68,1806.56,941.25,815.78,662,488,590.65,373,377,405.62,2067.04,1868.97,519,784
"CDC42BPA",533,592.36,521,519.39,1645.11,1915.85,2294,1434.91,941,3649.79,3716.08,4042.45,2859.43,3224.89,4152.07,1447.33,1890.85,962.75,1546.39
"IFNE",0,0,0,0,2,0,0,5,13,0,0,0,19,8,7,0,4,13,9
"FAM180B",0,2,1,2,3,1,1,2,2,10,17,20.89,1,0.87,2,8.02,4,13.01,11
"ANXA8L2",0,0,0,0,0,0,0,0,3.71,0,1,0,0,6.21,0,0,0,530.38,544.74
"GALC",191.98,175,190.82,176,361,427,427,2122.87,1709,4115.92,3860,2946.02,525.02,531,680.32,1185.33,1348.01,666,817
"MAZ",3623.74,3605.35,3460.94,3234.98,8350.03,9823.9,9686.3,9056.37,8654.8,10091.05,9707.34,10020.72,3373.02,3736.07,3470.95,9708,11462.67,8598.29,13323.22
"FAF2",735.98,755.14,738,747,2569.23,3165.89,2852.03,3554.04,3092.9,2111.63,2494.04,3068.03,2356.53,2202.5,2467,1845.74,2475.03,2083.77,2394.83
"TP53TG5",2.51,4.38,2.05,3.09,4.66,2.46,1.18,106.14,131.16,2.58,1.26,9.33,3.52,0,3.41,3.8,1.73,3.86,0
"ENAM",0,0,0,0,0,0,0,0,0,4,5,0,1,1,0,0,0,0,0
"TAS2R30",0.99,0.99,2.15,0,1,0,0,1.19,1.56,1,1,1.29,0,0,0,1,1,0,2.81
"SPATS2L",1917.53,1851.74,1723.97,1761.49,2851.49,3485.63,3771.57,4696.64,3438.27,930.94,948.59,1028.9,4477.47,4413.05,4682.99,344.87,831.41,6453.27,8914.95
"WDR69",1,5,6,6,13,8,8,1,1,5,3,3,1,10,0,4,2,46,60
"TEX33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2CD3",306,262,269,266,648,726.8,856.11,874.29,612,393,506.75,471.99,401.01,376.99,450,745.75,1123.79,362,660
"S100A4",225,194,219,194,273,210.01,307,208,214,3022.89,4265.52,3544.08,21422.71,16650.14,15669.03,376,652.06,1008.66,2268.91
"BDH2",401.91,419.9,389.48,349.66,989.65,1278.98,1277.5,587.58,427.39,590.76,655.74,498.6,1321.33,1239.11,1111.77,865.54,1228.46,609.26,779.02
"DNAJB12",443,415,400,407,1054.89,1177,1083.1,1122,1142.74,698.99,829,1099,1400.33,1498.99,1272,762,976.38,1064.17,1198.77
"GIMAP5",0,0,0,0,0,0,0,0,0,697.22,746.41,464.93,0,0,0,1,1,0,0
"ADAT2",150.47,167.16,161.1,154.99,359.13,402.78,457.57,170.69,122.5,224.78,226.62,187.9,137.87,84.38,97.53,503.99,401.77,92.4,84.11
"SECISBP2",964.99,868,908.32,897.36,2543.69,2968.48,3038.05,1835,1452.18,1354,1467,1484,598.43,585.96,640.09,3083.86,2568.8,1258,1537.35
"AKR1D1",5.31,6.04,3.45,13.38,16.53,10.45,13.35,18.08,9.55,14.31,2.18,11.59,2.48,5.23,4.96,24.16,16.25,12.83,11.1
"EID3",19,14,17,17,24.19,20,22,50,49,29,28,16,60,56,52.97,33,59,32,67
"SCAP",1550.58,1468.97,1529.55,1402.12,3548.84,3704.41,3708.64,3341.58,3278.78,2376.8,2299.15,2291.78,1773.13,2070.98,2006.97,4499.08,4163.13,2796.88,3212.1
"EVC",182.24,164.19,161.71,153.01,493.07,619.85,711.59,766.3,451.84,954.31,933.56,775.36,2310.61,3037.98,3299.69,904.02,867.27,572.4,710.62
"APOF",5.55,4.88,0.58,2.85,14.38,6.46,10.23,12.48,12.85,8.58,7.1,10.59,0,7.62,11.31,27.82,24.04,12.08,21.11
"C3orf17",637,582.17,593.16,570.22,1638.78,1997.56,2015.79,1394.79,1309.64,998.58,957,1186.41,864.55,981.06,1039.23,2035.27,2176.79,903.12,1121.45
"GINS1",1119.55,1068.34,986.4,1067.4,2205.08,2487.09,2768.85,1114.62,1017.26,378.26,378.78,356.1,186.84,183.68,181.2,1372.42,2159.13,480.86,708.31
"ACAD11",199.76,155.51,192.22,161.01,586.56,562.95,678.28,508.68,488.15,606.38,567.3,387.07,1522.39,1702.35,1495.77,1080.29,802.51,332.83,348.41
"BARX1",33,33,26,33,57,63,57,13,13,21,2,73,1,0,1,18,3,0,0
"BLOC1S3",69.9,72.31,59.64,51.34,175.26,227.28,235.96,206.14,229.05,383.12,401.88,437.92,479.77,408.32,426.68,162.19,198.83,182.06,257.67
"TRIB2",936.29,865.01,831,804.79,2825.66,2717.13,3109.33,1163.5,515.21,513.25,423.02,457,975.3,822.23,826,3342.02,3366.27,483,1040.85
"AGXT2",2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"C2orf27B",0,0,0,0,0,1.4,0,0,0,8.75,21.42,3.93,0,0,0,0,0,3.69,0
"USH1C",17,21,12,9,50,11,30,16,16,54.87,43,53.5,0,0,0,26,16,0,4
"RNF150",81,96,85,90,218.8,289,283,103,47,21,33,24,282,381.97,505.02,72,119.87,11,10
"RTN1",20,20,21,24,89,98,98,143,154,8,14,12,2,3,2,305,330,7,5
"RBFOX3",149.17,147,148,130,566,551,502.47,14,9,33,38,37,3,2,4,95,74,1,2
"TUBAL3",2,1,2,1,2,1,0,3,6,14,18,46,0,0,0,0,0,1,5
"SMTN",169,157,183,140,400,404.08,404.63,1151.11,1035.54,18902.96,21300.44,17509.85,3503.74,2767.22,2667.57,949.83,1090.85,899.87,1339.52
"WDR17",47.57,44.66,46.76,57.05,150.77,178.43,170.01,63.48,40.5,22.86,27.93,45.75,18.72,18.84,22.81,346.89,255.6,50.13,49.93
"RDH13",151.14,154.01,172,160.07,374,352.32,467.86,476.09,480.94,174.37,170.05,173.23,169.07,156.03,136.18,176.39,200.69,179.02,206.23
"CACYBP",1664.95,1691.57,1699.46,1554.14,4796.04,5428.73,5914.46,4189.78,3873.83,2258.61,2223.55,2426.44,1378.5,1280.74,1354.08,1745.62,3393.13,1072.53,1861.56
"TEP1",188.33,185.65,178.72,194.68,345.3,386.66,535.72,1302.89,1157.45,3172.86,3198.68,3515.54,978.5,975.57,1066.3,1264.95,894.81,1493.04,1137.51
"CARD18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPAT2",56,36,50,46,31.99,33,14.6,28,36.51,46.16,46.79,31.9,460.17,478.01,467.99,70.86,48.88,16,16.23
"JAZF1",153,140,128,145,374,284.01,338.82,256.47,244,74,99.23,55,1022.75,1316.04,1620.76,96,98,72.94,106
"C1orf130",39.78,30.06,33.11,51.67,90.2,89.92,126.9,136.39,108.85,85.23,75.74,124.15,41.78,47.9,71.86,200.98,190.52,149.92,167.17
"NLE1",736.01,753.89,684,634,1596,1933,1798.02,651.47,564.16,278,265,299,407.91,448.96,432,585.84,1027,307,424.92
"GJA9",0,2,1,0,0,1,2,1,3,2,3,3,4,9,11.01,11,4,12,4
"TMEM191B",37.65,27.82,27.26,26.18,80.24,80.49,60.32,38.71,59.81,9.86,25,20.35,58.52,75.6,55.45,38.09,27.66,137.54,232.92
"CAMP",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"AMDHD2",167.07,142,161.87,154.1,482.39,457.57,514.93,408.99,476.51,274,404.31,513.58,553.32,479.72,527.17,421.79,565.08,606.14,739.42
"C9orf142",258,212.76,250.59,208.37,617.92,717.1,747.04,780.26,844.54,232,219.02,175,416.99,393.32,336.39,674.37,918.34,599.47,745.96
"GGA3",599,602.08,616,571,1970,2113.98,2151.58,2094.2,2157.09,3058.45,3076.26,2836.63,959.05,1038.8,884,3457.87,2405.2,1720.99,2048.29
"GPI",4031.71,3823.29,3798.52,3397.08,9365.86,10086.56,10183.97,6281.33,6353.03,5091.83,5254.49,7693.45,6772.56,6345.84,5805.89,5238.42,5495.64,1601.34,2466.92
"CCDC9",257.63,260.49,233.61,239.33,656.65,713.49,699.34,1203.71,1439.43,531.34,551.63,716.1,608.3,581.58,548.36,877.51,913.02,468.39,656.51
"SFXN2",241.12,222.87,205.72,197.92,723.24,989.78,885.65,492.45,365.12,82.29,62.84,75.89,67.44,105.91,87.7,264.76,720.88,324.73,329.1
"PLA2G1B",0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
"ZMYM6NB",105,95,79.97,88,263,291.36,301,327,440,416,392,338,399,571,641,218,232,203,250.01
"ARGLU1",1169.09,1227.02,1150.88,1126.97,3710.02,3568.99,4207.65,2600.21,2745.9,8575.76,9188.17,8587.54,1747.25,1849.44,1608.58,14865.54,7032,4575.54,3766.18
"C2orf77",6,3,7,6,29,34,28,9,5,34.02,42,36,5,6,3.01,48,47.93,7,3
"CPT1A",371.3,373.34,362.34,326.85,256.53,210.42,278.68,293.14,276.54,87.4,49.1,99.53,2230.65,1982.53,2323.67,172.91,116.48,189.95,261.13
"MSLN",3,2,1,3,2,1,2,0,3,10,8,7,8,12,15,62,25,75,56
"GALNT14",146,135,123,129,465.82,349,433,118,93,77,104,84,114.67,171,151,238.04,76,3,5
"C3orf78",121,121,113.62,123.02,319.36,345.34,353,197.43,238,93,101,113,223.36,200.26,182.49,80,201,97,142
"C18orf21",183,180,199,165,569,654.42,670,369,362.97,193,216.95,274,305,284,285.98,262,393,224,311
"TMEM41B",455.39,491.15,456.25,453.86,1076.24,1233.11,1332.8,2059.32,1901.19,957.21,978.84,1475.86,911.44,894.16,995.46,1266.39,1096.48,1009.8,979.86
"TMBIM6",7558.67,7127.73,7112.83,7019.72,15163.16,18380.17,17604.21,18692.72,15976.27,21436.82,21451.91,22954.48,14964.16,16616.63,17177.53,11262.64,13093.87,22375.05,24967.99
"FATE1",0,1,1,1,3,4,3,0,0,0,0,1,0,0,0,0,1,0,1
"PRAMEF20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHST6",410.42,406.62,410.57,412.18,873.52,834.3,1026.12,323.75,272.48,338.3,202.19,229.5,69.81,56.83,61.64,891.42,1092.61,176.31,120.06
"KCNMA1",52.02,62,52.77,47.8,94.97,118.49,130.89,45.79,19.04,10.6,11.04,10.12,1922.85,1731.81,1880.02,275.74,118.86,7485.4,8974.62
"PPAPDC3",16,11,18,16,69,52,49,70,58.01,149,160.93,89,100,86,99.22,137,187.59,0,4
"UBA3",685.57,612,609,653.41,1841.85,2120.37,2017.86,2262.51,1759.98,1738.51,1938.76,1635,1464.49,1318,1389,1259.94,1934.98,1260,2007.52
"C9orf41",230.9,266.08,241.65,225.08,568.66,671.54,770.31,312.5,172.56,278.17,289.28,220.8,338.1,303.47,347.67,365.3,323.56,174.54,281.28
"RGS6",11,6,18,7,16,22,21,304.21,321,207,144,106,0,0,1,13,22,3,2
"NDUFC1",432,353,388,354,951,1118.93,1048,858.26,907.99,724.89,678.99,765,640.05,699.99,646,550,733.47,411.68,720.01
"NEDD8",1383.08,1223.77,1280.01,1287.02,3099.61,3738.24,3713.69,3499.56,3633.15,2782.9,2903.12,2657.67,4070.28,3673.03,3287.02,1955.83,3047.4,1810.65,2903.97
"LRRC47",1344.55,1368.76,1334.78,1183.88,2841.11,3471.15,3253.32,2009.12,1772.6,1517.9,1610.74,1651.74,1212.25,1272.41,1253.03,1684.93,1999.82,1147.69,1732.46
"GJA3",28,22,21,17,12,11,24,1,1,4,2,41.01,34,30,38,45,8,63,47.92
"PTPN18",196,167.69,200.49,174.62,471.15,458.26,516.21,406.42,428.57,562.84,561.76,361.51,841.69,970.23,760.49,617.02,567.28,314.69,417.37
"C5orf48",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"MAGEA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC100132396",0,0,0,0,0,0,0,0,0.91,0,0,0,0.44,0,0,1.62,0,0,1.91
"RAB2B",220.17,222.53,198.27,227.72,538.18,543.1,642.94,857.91,750.1,761.34,852.23,1054.02,431.22,372.47,442.26,1027.74,921.41,538.57,651.36
"LRRIQ3",2,2,5,4,3,4,6,6,7,6,3,2,10,12.01,12,4,4,8,3
"SPINT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MON2",276.8,289.32,239.59,242.03,944.05,906.54,1126.75,1237.31,829.61,1405.71,1287.07,1687.12,1529.23,1423.56,1822.18,1533.94,1452.81,1444.63,1765.07
"ZC2HC1A",81,85,81,87,241.78,328,307.92,185,87,323.96,276.16,203.03,252.96,242,272.01,343.99,386,296,314
"TTC21A",18,12,21,15,27.03,28,35,44.99,35,150.92,118,110,82.86,90.92,77,242,178.09,78,79
"MAG",7,9,11,10,5,15,15,0,0,0,0,0,0,0,0,0,0,0,0
"EXOC3L1",37,26.04,33,30,97,74,85,70.02,41.3,1402.48,1695.21,1150.07,7,6,2,8,9,12,24
"PRKDC",7827.51,7731.4,7371.23,7350.91,17930.8,19015.64,24114.65,11326.41,6510.53,6806.68,6226.8,5565.39,5526.38,5129.71,7490.87,17569.52,24640.98,5263.69,7279.99
"UCK2",1417.96,1483.6,1386.58,1378,3173,3616,3812.35,2023,1791,704,654,397,1326.1,1381.98,1512.98,1742,2529.2,1599.28,1370.34
"SPON2",13,11,11,3,26,14,21,35,6,1,1,2,6216.22,8807.22,9762.16,161,89.03,27,38
"OR4D11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C17orf90",101,88,94,78,234.14,205.63,191.08,173,172.13,247.49,244.98,137.96,217.12,249.24,214,180.69,212.63,122.08,211.54
"CCT6B",11,14,11,12.08,31,39,23,25,22,15.02,17,19,37,41,47,43,80.82,53,64
"COL1A1",834.76,797.09,731,727.02,1986.13,1618.7,1741.54,19659.69,6005.26,741.99,1059.34,954,381320.78,508598.88,506754.63,1680.32,7332.36,60011.31,56291.24
"MDP1",70.45,72.44,93.93,71.84,152.42,254.04,254.82,151.26,152.37,175.86,227.66,154.72,162.76,138.72,141.81,180.04,239.36,92.21,155.47
"APLN",15,14,14,16,102,144,95,38,63,6458.26,8567.74,19140.98,5,8,4,20,18,5,0
"GLE1",354,294,343,336,778,919.34,1045.1,779.33,735,698,614,531.06,1114,1098.92,1021.9,938.05,1206.53,772.01,1268
"DGKQ",99,106.01,91,78,608,499.96,527.66,1333.47,1384.92,684.11,799.03,578.01,875.67,820.86,699.21,838.98,511.1,530.81,455
"HIST1H2BI",1,0,1.08,1,2.37,1.06,1,2.11,1.08,0,1,0,0,3.06,2.05,1.09,1,0,2.08
"TIGD6",22.38,23.25,30.49,25.51,82.32,110.97,75.16,74.59,56.11,122.69,99.24,83.24,217.46,233.28,198.07,109.01,170.23,112.8,146.35
"ADAMTS19",403.22,390.03,353.16,356,1266.35,1409.86,1370.47,591,447,267,60,160,246,200.18,225,601,721.04,598.22,1042
"UBAC2",785.29,755.92,752.01,703,1754,1827,2056.95,1926,1865,2258,2026,1665,1350,1452.95,1595.06,2233.99,2131.95,1674,2355.01
"HTR3B",8.08,13.32,8.49,11.3,34.36,13.47,22.46,28.06,25.85,22.89,32.56,40.81,11.78,21.46,16.98,62.48,44.65,36.08,19.06
"LOC100507588",13,15,15,10,12,8,19,11,12,1,5,2,67,73,92,14,9,0,6
